,movie,year,genre,cast
147,Inside Out,I) (2015,"Animation, Adventure, Comedy","Ronnie Del Carmen, Amy Poehler, Bill Hader, Lewis Black, "
148,Prisoners,2013,"Crime, Drama, Mystery","Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo, "
149,Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama","Michael Keaton, Zach Galifianakis, Edward Norton, Andrea Riseborough, "
150,Jaws,1975,"Adventure, Drama, Thriller","Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, "
151,Kick-Ass,2010,"Action, Comedy","Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown, "
152,"Lock, Stock and Two Smoking Barrels",1998,"Comedy, Crime","Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham, "
153,L.A. Confidential,1997,"Crime, Drama, Mystery","Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger, "
154,Superbad,2007,Comedy,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader, "
155,Arrival,II) (2016,"Drama, Mystery, Sci-Fi","Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, "
156,Avengers: Infinity War,2018,"Action, Adventure, Fantasy","Joe Russo, Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, "
157,The Bourne Identity,2002,"Action, Mystery, Thriller","Franka Potente, Matt Damon, Chris Cooper, Clive Owen, "
158,Rise of the Planet of the Apes,2011,"Action, Drama, Sci-Fi","James Franco, Andy Serkis, Freida Pinto, Karin Konoval, "
159,Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes, "
160,Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint, Richard Griffiths, "
161,Ocean's Eleven,2001,"Crime, Thriller","George Clooney, Brad Pitt, Julia Roberts, Matt Damon, "
162,Casablanca,1942,"Drama, Romance, War","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, "
163,Cast Away,2000,"Adventure, Drama, Romance","Tom Hanks, Helen Hunt, Paul Sanchez, Lari White, "
164,The Notebook,2004,"Drama, Romance","Gena Rowlands, James Garner, Rachel McAdams, Ryan Gosling, "
165,Minority Report,2002,"Action, Adventure, Crime","Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow, "
166,Shaun of the Dead,2004,"Comedy, Horror","Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis, "
167,Rocky,1976,"Drama, Sport","Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, "
168,Blood Diamond,2006,"Adventure, Drama, Thriller","Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers, "
169,Toy Story 2,1999,"Animation, Adventure, Comedy","Ash Brannon, Lee Unkrich, Tom Hanks, Tim Allen, "
170,Despicable Me,2010,"Animation, Comedy, Family","Chris Renaud, Steve Carell, Jason Segel, Russell Brand, "
171,There Will Be Blood,2007,Drama,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer, "
172,Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy","Terry Jones, Graham Chapman, John Cleese, Eric Idle, "
173,Rogue One,2016,"Action, Adventure, Sci-Fi","Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen, "
174,Zombieland,2009,"Adventure, Comedy, Horror","Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin, "
175,Her,2013,"Drama, Romance, Sci-Fi","Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara, "
176,Watchmen,2009,"Action, Drama, Mystery","Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman, "
177,Star Trek: Into Darkness,2013,"Action, Adventure, Sci-Fi","Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch, "
178,Oldeuboi,2003,"Action, Drama, Mystery","Min-sik Choi, Ji-tae Yu, Hye-jeong Kang, Dae-han Ji, "
179,Rain Man,1988,Drama,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, "
180,(500) Days of Summer,2009,"Comedy, Drama, Romance","Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chloë Grace Moretz, "
181,Dunkirk,2017,"Action, Drama, History","Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy, "
182,American Psycho,2000,"Crime, Drama","Christian Bale, Justin Theroux, Josh Lucas, Bill Sage, "
183,Children of Men,2006,"Drama, Sci-Fi, Thriller","Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine, "
184,The Perks of Being a Wallflower,2012,"Drama, Romance","Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd, "
185,Hot Fuzz,2007,"Action, Comedy","Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy, "
186,Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, "
187,The Butterfly Effect,2004,"Sci-Fi, Thriller","J. Mackye Gruber, Ashton Kutcher, Amy Smart, Melora Walters, "
188,Back to the Future Part II,1989,"Adventure, Comedy, Sci-Fi","Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson, "
189,The Hateful Eight,2015,"Crime, Drama, Mystery","Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, "
190,Edward Scissorhands,1990,"Drama, Fantasy, Romance","Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, "
191,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, "
192,Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy, "
193,Little Miss Sunshine,2006,"Comedy, Drama","Valerie Faris, Steve Carell, Toni Collette, Greg Kinnear, "
194,Casino,1995,"Crime, Drama","Robert De Niro, Sharon Stone, Joe Pesci, James Woods, "
195,Ex Machina,2014,"Drama, Mystery, Sci-Fi","Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno, "
196,The Bourne Supremacy,2004,"Action, Thriller","Matt Damon, Franka Potente, Joan Allen, Brian Cox, "
197,Crash,I) (2004,"Crime, Drama, Thriller","Don Cheadle, Sandra Bullock, Thandie Newton, Karina Arroyave, "
198,Harry Potter and the Half-Blood Prince,2009,"Adventure, Family, Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon, "
199,La La Land,I) (2016,"Comedy, Drama, Music","Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons, "
200,The Pursuit of Happyness,2006,"Biography, Drama","Will Smith, Thandie Newton, Jaden Smith, Brian Howe, "
201,Warrior,2011,"Drama, Sport","Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison, "
202,Le cinquième élément,1997,"Action, Adventure, Sci-Fi","Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm, "
203,Dallas Buyers Club,2013,"Biography, Drama","Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn, "
