,movie,year,genre,cast
444,Primal Fear,1996,"Crime, Drama, Mystery","Richard Gere, Laura Linney, Edward Norton, John Mahoney, "
445,The Man from Earth,2007,"Drama, Fantasy, Sci-Fi","David Lee Smith, Tony Todd, John Billingsley, Ellen Crawford, "
446,Ed Wood,1994,"Biography, Comedy, Drama","Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette, "
447,Goldfinger,1964,"Action, Adventure, Thriller","Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton, "
448,Rushmore,1998,"Comedy, Drama","Jason Schwartzman, Bill Murray, Olivia Williams, Seymour Cassel, "
449,Planet of the Apes,1968,"Adventure, Sci-Fi","Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans, "
450,Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Musical","Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear, "
451,Milk,I) (2008,"Biography, Drama","Sean Penn, Josh Brolin, Emile Hirsch, Diego Luna, "
452,The Crow,1994,"Action, Drama, Fantasy","Brandon Lee, Michael Wincott, Rochelle Davis, Ernie Hudson, "
453,Falling Down,1993,"Crime, Drama, Thriller","Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin, "
454,The Iron Giant,1999,"Animation, Action, Adventure","Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel, "
455,Mad Max 2,1981,"Action, Adventure, Sci-Fi","Mel Gibson, Bruce Spence, Michael Preston, Max Phipps, "
456,The Greatest Showman,2017,"Biography, Drama, Musical","Hugh Jackman, Michelle Williams, Zac Efron, Zendaya, "
457,The Birds,1963,"Drama, Horror, Mystery","Rod Taylor, Tippi Hedren, Jessica Tandy, Suzanne Pleshette, "
458,Tucker and Dale vs Evil,2010,"Action, Comedy, Horror","Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss, "
459,Paths of Glory,1957,"Drama, War","Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, "
460,The Abyss,1989,"Adventure, Drama, Sci-Fi","Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn, Leo Burmester, "
461,Army of Darkness,1992,"Comedy, Horror","Bruce Campbell, Embeth Davidtz, Marcus Gilbert, Ian Abercrombie, "
462,The Insider,1999,"Biography, Drama, Thriller","Russell Crowe, Al Pacino, Christopher Plummer, Diane Venora, "
463,Breakfast at Tiffany's,1961,"Comedy, Drama, Romance","Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen, "
464,Captain Fantastic,2016,"Comedy, Drama","Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso, "
465,Mary and Max,2009,"Animation, Comedy, Drama","Toni Collette, Philip Seymour Hoffman, Eric Bana, Barry Humphries, "
466,The Jungle Book,1967,"Animation, Adventure, Family","Phil Harris, Sebastian Cabot, Louis Prima, Bruce Reitherman, "
467,Letters from Iwo Jima,2006,"Drama, History, War","Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryo Kase, "
468,Cool Hand Luke,1967,"Crime, Drama","Paul Newman, George Kennedy, Strother Martin, J.D. Cannon, "
469,Dazed and Confused,1993,Comedy,"Jason London, Wiley Wiggins, Matthew McConaughey, Rory Cochrane, "
470,Wind River,2017,"Crime, Drama, Mystery","Kelsey Asbille, Jeremy Renner, Julia Jones, Teo Briones, "
471,Relatos salvajes,2014,"Comedy, Drama, Thriller","Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta, "
472,The Fly,1986,"Drama, Horror, Sci-Fi","Jeff Goldblum, Geena Davis, John Getz, Joy Boushel, "
473,City Lights,1931,"Comedy, Drama, Romance","Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, "
474,The Third Man,1949,"Film-Noir, Mystery, Thriller","Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard, "
475,Metropolis,1927,"Drama, Sci-Fi","Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, "
476,Det sjunde inseglet,1957,"Drama, Fantasy","Max von Sydow, Gunnar Björnstrand, Bengt Ekerot, Nils Poppe, "
477,The Maltese Falcon,1941,"Film-Noir, Mystery","Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre, "
478,The Apartment,1960,"Comedy, Drama, Romance","Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, "
479,In the Name of the Father,1993,"Biography, Drama","Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie, Philip King, "
480,Dial M for Murder,1954,"Crime, Thriller","Ray Milland, Grace Kelly, Robert Cummings, John Williams, "
481,I Am Sam,2001,Drama,"Sean Penn, Michelle Pfeiffer, Dakota Fanning, Dianne Wiest, "
482,The Naked Gun: From the Files of Police Squad!,1988,"Comedy, Crime","Leslie Nielsen, Priscilla Presley, O.J. Simpson, Ricardo Montalban, "
483,The Last of the Mohicans,1992,"Action, Adventure, Drama","Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig, "
484,Evil Dead II,1987,"Comedy, Horror","Bruce Campbell, Sarah Berry, Dan Hicks, Kassie Wesley DePaiva, "
485,Akira,1988,"Animation, Action, Drama","Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda, "
486,Young Frankenstein,1974,Comedy,"Gene Wilder, Madeline Kahn, Marty Feldman, Peter Boyle, "
487,Taare Zameen Par,2007,"Drama, Family","Amole Gupte, Darsheel Safary, Aamir Khan, Tanay Chheda, "
488,Dirty Harry,1971,"Action, Crime, Drama","Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni, "
489,JFK,1991,"Drama, History, Thriller","Kevin Costner, Gary Oldman, Jack Lemmon, Walter Matthau, "
490,Mary Poppins,1964,"Comedy, Family, Fantasy","Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns, "
491,Rashômon,1950,"Crime, Drama, Mystery","Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura, "
492,PK,2014,"Comedy, Drama","Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani, "
493,La haine,1995,"Crime, Drama","Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, "
494,Good Bye Lenin!,2003,"Comedy, Drama, Romance","Daniel Brühl, Katrin Saß, Chulpan Khamatova, Florian Lukas, "
495,Barry Lyndon,1975,"Adventure, Drama, History","Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger, "
496,Network,1976,Drama,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall, "
497,National Lampoon's Christmas Vacation,1989,Comedy,"Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki, "
498,Ray,I) (2004,"Biography, Drama, Music","Jamie Foxx, Regina King, Kerry Washington, Clifton Powell, "
499,On the Waterfront,1954,"Crime, Drama, Thriller","Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger, "
500,Call Me by Your Name,2017,"Drama, Romance","Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar, "
501,Kaze no tani no Naushika,1984,"Animation, Adventure, Fantasy","Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya, "
502,Dogville,2003,"Crime, Drama","Nicole Kidman, Paul Bettany, Lauren Bacall, Harriet Andersson, "
503,M - Eine Stadt sucht einen Mörder,1931,"Crime, Drama, Mystery","Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke, "
504,Double Indemnity,1944,"Crime, Drama, Film-Noir","Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr, "
505,Tenkû no shiro Rapyuta,1986,"Animation, Adventure, Family","Anna Paquin, James Van Der Beek, Cloris Leachman, Mark Hamill, "
506,Ladri di biciclette,1948,Drama,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri, "
507,A Fish Called Wanda,1988,"Comedy, Crime","John Cleese, John Cleese, Jamie Lee Curtis, Kevin Kline, "
508,La piel que habito,2011,"Drama, Thriller","Antonio Banderas, Elena Anaya, Jan Cornet, Marisa Paredes, "
509,Manhattan,1979,"Comedy, Drama, Romance","Woody Allen, Diane Keaton, Mariel Hemingway, Michael Murphy, "
510,La vie d'Adèle,2013,"Drama, Romance","Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing, "
511,A Christmas Story,1983,"Comedy, Family","Peter Billingsley, Melinda Dillon, Darren McGavin, Scott Schwartz, "
512,Before Midnight,2013,"Drama, Romance","Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick, Ariane Labed, "
513,This Is Spinal Tap,1984,"Comedy, Music","Rob Reiner, Michael McKean, Christopher Guest, Kimberly Stringer, "
514,The Count of Monte Cristo,2002,"Action, Adventure, Drama","Jim Caviezel, Guy Pearce, Richard Harris, James Frain, "
515,The Book Thief,2013,"Drama, War","Sophie Nélisse, Geoffrey Rush, Emily Watson, Ben Schnetzer, "
516,Miller's Crossing,1990,"Crime, Drama, Thriller","Ethan Coen, Gabriel Byrne, Albert Finney, John Turturro, "
517,Roman Holiday,1953,"Comedy, Romance","Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power, "
518,Incendies,2010,"Drama, Mystery, War","Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel, "
519,Lost Highway,1997,"Mystery, Thriller","Bill Pullman, Patricia Arquette, John Roselius, Louis Eppolito, "
520,Kramer vs. Kramer,1979,Drama,"Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry, "
521,A Bronx Tale,1993,"Crime, Drama","Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra, "
522,Kung fu,2004,"Action, Comedy, Crime","Stephen Chow, Wah Yuen, Qiu Yuen, Siu-Lung Leung, "
523,What We Do in the Shadows,2014,"Comedy, Horror","Taika Waititi, Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, "
524,Blazing Saddles,1974,"Comedy, Western","Cleavon Little, Gene Wilder, Slim Pickens, Harvey Korman, "
525,Glory,1989,"Biography, Drama, History","Matthew Broderick, Denzel Washington, Cary Elwes, Morgan Freeman, "
526,Rope,1948,"Crime, Drama, Mystery","James Stewart, John Dall, Farley Granger, Dick Hogan, "
527,Strangers on a Train,1951,"Crime, Film-Noir, Thriller","Farley Granger, Robert Walker, Ruth Roman, Leo G. Carroll, "
528,Billy Elliot,2000,"Drama, Music, Romance","Jamie Bell, Julie Walters, Jean Heywood, Jamie Draven, "
529,Spartacus,1960,"Adventure, Biography, Drama","Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton, "
530,Kôkaku Kidôtai,1995,"Animation, Action, Crime","Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera, "
531,Tombstone,1993,"Action, Biography, Drama","Kevin Jarre, Kurt Russell, Val Kilmer, Sam Elliott, "
532,Mou gaan dou,2002,"Crime, Drama, Mystery","Alan Mak, Andy Lau, Tony Chiu-Wai Leung, Anthony Chau-Sang Wong, "
533,Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller","Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg, "
534,Boyz n the Hood,1991,"Crime, Drama","Cuba Gooding Jr., Laurence Fishburne, Hudhail Al-Amir, Lloyd Avery II, "
535,This Is England,2006,"Crime, Drama","Thomas Turgoose, Stephen Graham, Jo Hartley, Andrew Shim, "
536,Papillon,1973,"Biography, Crime, Drama","Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon, "
537,Awakenings,1990,"Biography, Drama","Robert De Niro, Robin Williams, Julie Kavner, Ruth Nelson, "
538,Me and Earl and the Dying Girl,2015,"Comedy, Drama","Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman, "
539,Rebecca,1940,"Drama, Mystery, Romance","Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson, "
540,Kimi no na wa.,2016,"Animation, Drama, Fantasy","Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki, "
541,"Planes, Trains & Automobiles",1987,Comedy,"Steve Martin, John Candy, Laila Robins, Michael McKean, "
542,Leaving Las Vegas,1995,"Drama, Romance","Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, "
543,Dangal,2016,"Action, Biography, Drama","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, "
544,Once,2007,"Drama, Music, Romance","Glen Hansard, Markéta Irglová, Hugh Walsh, Gerard Hendrick, "
545,Nebraska,2013,"Adventure, Comedy, Drama","Bruce Dern, Will Forte, June Squibb, Bob Odenkirk, "
546,Y tu mamá también,2001,"Adventure, Comedy, Drama","Maribel Verdú, Gael García Bernal, Daniel Giménez Cacho, Ana López Mercado, "
547,All About Eve,1950,Drama,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, "
548,Empire of the Sun,1987,"Drama, History, War","Christian Bale, John Malkovich, Miranda Richardson, Nigel Havers, "
549,Star Trek: The Wrath of Khan,1982,"Action, Adventure, Sci-Fi","William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, "
550,Gake no ue no Ponyo,2008,"Animation, Adventure, Comedy","Cate Blanchett, Matt Damon, Liam Neeson, Tomoko Yamaguchi, "
551,Animal House,1978,Comedy,"John Belushi, Karen Allen, Tom Hulce, Stephen Furst, "
552,Barton Fink,1991,"Comedy, Drama, Thriller","Ethan Coen, John Turturro, John Goodman, Judy Davis, "
553,Night of the Living Dead,1968,Horror,"Duane Jones, Judith O'Dea, Karl Hardman, Marilyn Eastman, "
554,Dawn of the Dead,1978,"Horror, Thriller","David Emge, Ken Foree, Scott H. Reiniger, Gaylen Ross, "
555,Shi mian mai fu,2004,"Action, Adventure, Drama","Ziyi Zhang, Takeshi Kaneshiro, Andy Lau, Dandan Song, "
556,Escape from Alcatraz,1979,"Biography, Crime, Drama","Clint Eastwood, Patrick McGoohan, Roberts Blossom, Jack Thibeau, "
557,The Meaning of Life,1983,"Comedy, Musical","Terry Gilliam, John Cleese, Terry Gilliam, Eric Idle, "
558,The Raid 2: Berandal,2014,"Action, Crime, Thriller","Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara, "
559,The Fall,2006,"Adventure, Comedy, Drama","Lee Pace, Catinca Untaru, Justine Waddell, Kim Uylenbroek, "
560,Faa yeung nin wa,2000,"Drama, Romance","Tony Chiu-Wai Leung, Maggie Cheung, Ping Lam Siu, Tung Cho 'Joe' Cheung, "
561,Little Children,2006,"Drama, Romance","Kate Winslet, Jennifer Connelly, Patrick Wilson, Jackie Earle Haley, "
562,The Life of David Gale,2003,"Crime, Drama, Thriller","Kevin Spacey, Kate Winslet, Laura Linney, Cleo King, "
563,Robin Hood,1973,"Animation, Adventure, Comedy","Brian Bedford, Phil Harris, Roger Miller, Peter Ustinov, "
564,The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western","Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, "
565,A Single Man,2009,"Drama, Romance","Colin Firth, Julianne Moore, Matthew Goode, Nicholas Hoult, "
566,Le scaphandre et le papillon,2007,"Biography, Drama","Mathieu Amalric, Emmanuelle Seigner, Marie-Josée Croze, Anne Consigny, "
567,Kubo and the Two Strings,2016,"Animation, Action, Adventure","Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes, "
568,8½,1963,Drama,"Marcello Mastroianni, Anouk Aimée, Claudia Cardinale, Sandra Milo, "
569,The French Connection,1971,"Action, Crime, Drama","Gene Hackman, Roy Scheider, Fernando Rey, Tony Lo Bianco, "
570,Frost/Nixon,2008,"Biography, Drama, History","Frank Langella, Michael Sheen, Kevin Bacon, Sam Rockwell, "
571,Rang De Basanti,2006,"Comedy, Drama","Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi, "
572,Ran,1985,"Action, Drama","Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû, "
573,Hable con ella,2002,"Drama, Mystery, Romance","Rosario Flores, Javier Cámara, Darío Grandinetti, Leonor Watling, "
574,The Man Who Wasn't There,2001,"Crime, Drama","Ethan Coen, Billy Bob Thornton, Frances McDormand, Michael Badalucco, "
575,Mr. Smith Goes to Washington,1939,"Comedy, Drama","James Stewart, Jean Arthur, Claude Rains, Edward Arnold, "
576,Majo no takkyûbin,1989,"Animation, Adventure, Drama","Kirsten Dunst, Minami Takayama, Rei Sakuma, Kappei Yamaguchi, "
577,The Omen,1976,Horror,"Gregory Peck, Lee Remick, Harvey Stephens, David Warner, "
578,My Cousin Vinny,1992,"Comedy, Crime","Joe Pesci, Marisa Tomei, Ralph Macchio, Mitchell Whitfield, "
579,Serpico,1973,"Biography, Crime, Drama","Al Pacino, John Randolph, Jack Kehoe, Biff McGuire, "
580,Salinui chueok,2003,"Action, Crime, Drama","Kang-ho Song, Sang-kyung Kim, Roe-ha Kim, Jae-ho Song, "
581,The Big Sick,2017,"Comedy, Drama, Romance","Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano, "
582,Die Welle,2008,"Drama, Thriller","Jürgen Vogel, Frederick Lau, Max Riemelt, Jennifer Ulrich, "
583,Yôjinbô,1961,"Action, Drama, Thriller","Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa, "
584,Incredibles 2,2018,"Animation, Action, Adventure","Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner, "
585,Stalker,1979,"Drama, Sci-Fi","Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko, "
586,Der Name der Rose,1986,"Crime, Drama, Mystery","Sean Connery, Christian Slater, Helmut Qualtinger, Elya Baskin, "
587,United 93,2006,"Drama, History, Thriller","David Alan Basche, Olivia Thirlby, Liza Colón-Zayas, J.J. Johnson, "
588,Bonnie and Clyde,1967,"Action, Biography, Crime","Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman, "
589,Tropa de Elite,2007,"Action, Crime, Drama","Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz, "
590,Diarios de motocicleta,2004,"Adventure, Biography, Drama","Gael García Bernal, Rodrigo De la Serna, Mía Maestro, Mercedes Morán, "
591,La migliore offerta,2013,"Crime, Drama, Mystery","Geoffrey Rush, Jim Sturgess, Sylvia Hoeks, Donald Sutherland, "
592,Dancer in the Dark,2000,"Crime, Drama, Musical","Björk, Catherine Deneuve, David Morse, Peter Stormare, "
593,The Kid,1921,"Comedy, Drama, Family","Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller, "
594,Hodejegerne,2011,"Crime, Drama, Thriller","Aksel Hennie, Synnøve Macody Lund, Nikolaj Coster-Waldau, Julie R. Ølgaard, "
595,Ang-ma-reul bo-at-da,2010,"Action, Drama, Horror","Byung-Hun Lee, Min-sik Choi, Joon-Hyuk Lee, Bo-ra Nam, "
596,Touch of Evil,1958,"Crime, Drama, Film-Noir","Charlton Heston, Orson Welles, Janet Leigh, Joseph Calleia, "
597,Sense and Sensibility,1995,"Drama, Romance","Emma Thompson, Kate Winslet, James Fleet, Tom Wilkinson, "
598,Lagaan: Once Upon a Time in India,2001,"Adventure, Drama, Musical","Aamir Khan, Raghuvir Yadav, Gracy Singh, Rachel Shelley, "
599,A Streetcar Named Desire,1951,Drama,"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden, "
600,Bahubali: The Beginning,2015,"Action, Drama, Fantasy","Prabhas, Rana Daggubati, Ramya Krishnan, Sathyaraj, "
601,High Noon,1952,"Action, Drama, Thriller","Gary Cooper, Grace Kelly, Thomas Mitchell, Lloyd Bridges, "
602,Les quatre cents coups,1959,"Crime, Drama","Jean-Pierre Léaud, Albert Rémy, Claire Maurier, Guy Decomble, "
603,All the President's Men,1976,"Biography, Drama, History","Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam, "
604,Deliverance,1972,"Adventure, Drama, Thriller","Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox, "
605,Midnight Cowboy,1969,Drama,"Dustin Hoffman, Jon Voight, Sylvia Miles, John McGiver, "
606,My Name Is Khan,2010,Drama,"Shah Rukh Khan, Kajol, Sheetal Menon, Katie A. Keane, "
607,Philomena,2013,"Biography, Drama","Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham, "
608,Glengarry Glen Ross,1992,"Crime, Drama, Mystery","Al Pacino, Jack Lemmon, Alec Baldwin, Alan Arkin, "
609,Wonder,I) (2017,"Drama, Family","Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts, "
610,Un prophète,2009,"Crime, Drama","Tahar Rahim, Niels Arestrup, Adel Bencherif, Reda Kateb, "
611,Enter the Dragon,1973,"Action, Crime, Drama","Bruce Lee, John Saxon, Jim Kelly, Ahna Capri, "
612,Das Experiment,2001,"Drama, Thriller","Moritz Bleibtreu, Christian Berkel, Oliver Stokowski, Wotan Wilke Möhring, "
613,Volver,I) (2006,"Comedy, Crime, Drama","Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, "
614,Patton,1970,"Biography, Drama, War","George C. Scott, Karl Malden, Stephen Young, Michael Strong, "
615,Witness for the Prosecution,1957,"Crime, Drama, Mystery","Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, "
616,Boys Don't Cry,1999,"Biography, Crime, Drama","Hilary Swank, Chloë Sevigny, Peter Sarsgaard, Brendan Sexton III, "
617,The Gold Rush,1925,"Adventure, Comedy, Drama","Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman, "
618,The Conversation,1974,"Drama, Mystery, Thriller","Gene Hackman, John Cazale, Allen Garfield, Frederic Forrest, "
619,The Hurricane,1999,"Biography, Drama, Sport","Denzel Washington, Vicellous Shannon, Deborah Kara Unger, Liev Schreiber, "
620,West Side Story,1961,"Crime, Drama, Musical","Robert Wise, Natalie Wood, George Chakiris, Richard Beymer, "
621,Yip Man 2,2010,"Action, Drama, Sport","Donnie Yen, Xiaoming Huang, Sammo Kam-Bo Hung, Lynn Hung, "
622,Notorious,1946,"Drama, Film-Noir, Romance","Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern, "
623,The Warriors,1979,"Action, Crime, Thriller","Michael Beck, James Remar, Dorsey Wright, Brian Tyler, "
624,Amour,2012,"Drama, Romance","Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud, "
625,The Last Emperor,1987,"Biography, Drama, History","John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying, "
626,Persona,1966,"Drama, Thriller","Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand, "
627,Dead Man,1995,"Drama, Fantasy, Western","Johnny Depp, Gary Farmer, Crispin Glover, Lance Henriksen, "
628,It Happened One Night,1934,"Comedy, Romance","Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, "
629,Sling Blade,1996,Drama,"Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter, "
630,Fantasia,1940,"Animation, Family, Fantasy","Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, "
631,Persepolis,2007,"Animation, Biography, Drama","Marjane Satrapi, Chiara Mastroianni, Catherine Deneuve, Gena Rowlands, "
632,Smultronstället,1957,"Drama, Romance","Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand, "
633,Lolita,1962,"Crime, Drama, Romance","James Mason, Shelley Winters, Sue Lyon, Gary Cockrell, "
634,Hunt for the Wilderpeople,2016,"Adventure, Comedy, Drama","Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, "
635,Todo sobre mi madre,1999,Drama,"Cecilia Roth, Marisa Paredes, Candela Peña, Antonia San Juan, "
636,The Magnificent Seven,1960,"Action, Adventure, Western","Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach, "
637,An American Werewolf in London,1981,"Comedy, Horror","David Naughton, Jenny Agutter, Joe Belcher, Griffin Dunne, "
638,The Grapes of Wrath,1940,"Drama, History","Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin, "
639,Nosferatu,1922,"Fantasy, Horror","Max Schreck, Alexander Granach, Gustav von Wangenheim, Greta Schröder, "
640,My Fair Lady,1964,"Drama, Family, Musical","Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, "
641,Blood Simple.,1984,"Crime, Drama, Thriller","Ethan Coen, John Getz, Frances McDormand, Dan Hedaya, "
642,Following,1998,"Crime, Mystery, Thriller","Jeremy Theobald, Alex Haw, Lucy Russell, John Nolan, "
643,Trois couleurs: Rouge,1994,"Drama, Mystery, Romance","Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit, "
644,La môme,2007,"Biography, Drama, Music","Marion Cotillard, Sylvie Testud, Pascal Greggory, Emmanuelle Seigner, "
645,Mississippi Burning,1988,"Crime, Drama, History","Gene Hackman, Willem Dafoe, Frances McDormand, Brad Dourif, "
646,Trois couleurs: Bleu,1993,"Drama, Music, Mystery","Juliette Binoche, Zbigniew Zamachowski, Julie Delpy, Benoît Régent, "
647,Tropa de Elite 2: O Inimigo Agora é Outro,2010,"Action, Crime, Drama","Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz, "
648,Rebel Without a Cause,1955,Drama,"James Dean, Natalie Wood, Sal Mineo, Jim Backus, "
649,The Kite Runner,2007,Drama,"Khalid Abdalla, Ahmad Khan Mahmoodzada, Atossa Leoni, Shaun Toub, "
650,Delicatessen,1991,"Comedy, Crime","Jean-Pierre Jeunet, Marie-Laure Dougnac, Dominique Pinon, Pascal Benezech, "
651,The Night of the Hunter,1955,"Crime, Drama, Film-Noir","Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason, "
652,Malcolm X,1992,"Biography, Drama, History","Denzel Washington, Angela Bassett, Delroy Lindo, Spike Lee, "
653,October Sky,1999,"Biography, Drama, Family","Jake Gyllenhaal, Chris Cooper, Laura Dern, Chris Owen, "
654,Gifted,2017,Drama,"Chris Evans, Mckenna Grace, Lindsay Duncan, Octavia Spencer, "
655,The Straight Story,1999,"Biography, Drama","Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz, Joseph A. Carpenter, "
656,Flipped,I) (2010,"Comedy, Drama, Romance","Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, "
657,Festen,1998,Drama,"Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen, Paprika Steen, "
658,King Kong,1933,"Adventure, Horror, Sci-Fi","Ernest B. Schoedsack, Fay Wray, Robert Armstrong, Bruce Cabot, "
659,The Big Sleep,1946,"Crime, Film-Noir, Mystery","Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers, "
660,Mar adentro,I) (2004,"Biography, Drama, Romance","Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera, "
661,The Fisher King,1991,"Comedy, Drama, Fantasy","Jeff Bridges, Robin Williams, Adam Bryant, Paul Lombardi, "
662,"Swades: We, the People",2004,Drama,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smit Sheth, "
663,The Piano,1993,"Drama, Music, Romance","Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin, "
664,The Killing,1956,"Crime, Drama, Film-Noir","Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen, "
665,The Searchers,1956,"Adventure, Drama, Western","John Wayne, Jeffrey Hunter, Vera Miles, Ward Bond, "
666,The Day the Earth Stood Still,1951,"Drama, Sci-Fi","Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe, "
667,Do the Right Thing,1989,"Comedy, Drama","Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, "
668,The Wild Bunch,1969,"Action, Adventure, Western","William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien, "
